char;	count;	type,std_chars
卪;	35;	2,卩,4,節
㪶;	35;	2,斛
𠎣;	35;	4,僊
𢒈;	35;	2,丹;形,4,形
𨢸;	35;	2,醘,4,醯
鄷;	35;	2,酆
噑;	35;	2,嗥
昻;	34;	2,昂
𢼜;	34;	2,赦,4,赦
睘;	34;	2,瞏,4,瞏
䦧;	34;	2,鬩
㝃;	34;	2,娩
槹;	34;	2,槔
𣾫;	34;	2,澀,4,澁,4,澀
𢃄;	34;	2,帶
粦;	34;	2,燐
𤊹;	34;	2,㶿,4,㶿
𩁹;	34;	2,雩,4,雩,4,雩
𥟦;	34;	2,黎,4,黎
夣;	34;	2,夢,2,夢
鳫;	33;	2,雁;鴈
𤋲;	33;	2,爇
㑅;	33;	2,作
䴥;	33;	2,麚
㛐;	33;	2,嫂
䴏;	33;	2,燕
𢦤;	33;	2,戕
卐;	33;	2,卍
㬠;	33;	2,晒,4,曬
俲;	33;	2,效;傚
𢇁;	33;	2,絲,4,絲
辺;	33;	2,邊
䁀;	33;	2,鼎
姢;	33;	2,娟
檨;	32;	2,檨
忛;	32;	2,帆
𢡼;	32;	2,懦,4,懦
𥌎;	32;	2,瞤,4,瞤
飬;	32;	2,餋;養
𠢐;	32;	2,剺,4,剺
𩀱;	32;	2,雙,4,雙
㴾;	32;	2,渤
脃;	32;	2,脆,2,脆,4,胞
𨥥;	32;	2,礦,4,鑛,4,鑛
𤺙;	32;	2,惱;𤷻,4,
戯;	32;	2,戲
𦙶;	32;	2,肱;股,4,股
吚;	31;	2,咿;㕧
𣹉;	31;	2,盥,4,盥
澘;	31;	2,潸,4,潛
㻮;	31;	2,璨
㞧;	31;	2,會
𤯝;	31;	2,青;眚,4,眚
𧉨;	31;	2,蛩
𣚦;	31;	2,弶,4,
𡵯;	31;	2,步,4,步
憜;	31;	2,惰
𢪱;	31;	2,物,4,物
𡝩;	31;	2,妖,4,妖
𡉏;	31;	2,圯;圮,4,圮
𡼏;	31;	2,澗,4,澗
秆;	30;	2,稈
厪;	30;	2,廑
𤁷;	30;	2,滴,4,滴
𠚏;	30;	2,臿,4,臿,4,臿
挵;	30;	2,弄
贑;	30;	2,贛;灨
𪇔;	30;	2,鶿
𥨱;	30;	2,竊
𩲐;	30;	2,魅
塪;	30;	2,埳
舓;	30;	2,舐
𥌋;	30;	2,瞢
眘;	30;	2,慎
𢴤;	30;	2,撐,4,撐
𨺻;	30;	2,陷,4,陷
豓;	30;	2,豔
㡭;	30;	2,繼
缻;	30;	2,缶
𧎔;	30;	2,蟒
鯹;	30;	2,鮏
㖾;	30;	2,咢
𠾅;	30;	2,要;嚚
𣽃;	30;	2,澹,4,澹
趋;	30;	2,趨
𢥠;	30;	2,愯,2,愯
𩅢;	30;	2,覈
擑;	29;	2,接
歓;	29;	2,歡
罙;	29;	2,冞;𥥍
仮;	29;	2,假;反
𥼆;	29;	2,𥻦,4,穀
䥴;	29;	2,鐫;鑴
酙;	29;	2,斟
䊸;	29;	2,紆
㞢;	29;	2,之
𠿘;	29;	2,嘴;㭰
攅;	29;	2,攢
𩿒;	29;	2,鴟
㢠;	29;	2,迥
𩵋;	29;	2,魚,4,魚
𧉮;	29;	2,蛇,4,蛇
嵳;	29;	2,嵯
𣫆;	29;	2,磬
𡍩;	29;	2,坼
沲;	29;	2,沱,4,沱
丣;	29;	2,卯;酉,4,酉
謴;	28;	2,䜇;𧬪
𠎥;	28;	2,借,4,借
𤿺;	28;	4,斯
稉;	28;	2,粳
飊;	28;	2,飆
𦂝;	28;	2,緝,4,緝
覀;	28;	2,襾,4,西
囏;	28;	2,艱
㐱;	28;	2,鬒;𠘱
㗁;	28;	2,齶
䡖;	28;	2,輕
䩫;	28;	2,緉
逷;	28;	2,逖
㫺;	28;	2,昔
𨵙;	28;	2,闃
𠙽;	28;	2,塊
𠢧;	28;	2,勝
𨕖;	28;	2,選
𪅎;	28;	2,鵮,4,鵮
剙;	28;	2,創;刱
𣊵;	28;	2,暖,4,暖
粜;	28;	2,糶,4,糶
𣫭;	28;	2,每,4,每
鋣;	27;	2,釾
𣩦;	27;	4,殑
箆;	27;	2,篦
䣑;	27;	2,廛,4,廛
膸;	27;	2,𦢪
递;	27;	2,遞
𢦵;	27;	2,矛,4,矛
𧶜;	27;	2,商;賞
弃;	27;	2,棄,4,棄
𨃥;	27;	2,磔,4,足
𥈅;	27;	2,靦,4,靦,4,瞑
𡱤;	27;	2,尿,4,尿
㠀;	27;	2,島
厮;	27;	2,廝
𡊅;	26;	2,𡊄
釯;	26;	2,鋩,4,鋩
𠜨;	26;	2,劾
𣯟;	26;	2,𣮧,4,,4,
䅶;	26;	2,耨
沗;	26;	2,添;滂
㓝;	26;	2,刑;創
揁;	26;	2,㧶
𩓙;	26;	4,穎
𣑱;	26;	2,染,4,染
喯;	26;	2,噴,2,噴
崫;	26;	2,崛;𡼿
𧧌;	26;	2,寂,4,寂,4,䚷
㠋;	26;	2,崿
卝;	26;	2,卵;礦;丱,4,卵
沗;	26;	2,添;滂
𨔝;	25;	2,動
𥧲;	25;	2,浸
𡑞;	25;	2,隧
𣇄;	25;	2,鼎
𣪠;	25;	2,毄
㜑;	25;	2,婆
𧴲;	25;	2,𧴪
𥸮;	25;	4,棗
崪;	25;	2,崒
边;	25;	2,邊
衟;	25;	2,道
𤥖;	25;	2,寶
滛;	25;	2,淫
𢮓;	25;	2,掣,4,掣
戅;	25;	2,戇
启;	25;	2,啟;呇,4,啓
𣑭;	25;	2,柵,4,柵,4,枏
㿲;	25;	2,欹
𤡜;	25;	2,猒
䜿;	25;	2,豎
𤍠;	24;	4,熱
侣;	24;	2,侶
㯶;	24;	2,棕
𤄃;	24;	2,闊
𠮉;	24;	2,叡
𧶽;	24;	2,賜
𥕤;	24;	2,磕,4,磕
𡩬;	24;	2,寧
斋;	24;	2,齋
𢡽;	24;	2,惜,4,惜
够;	24;	2,夠
凴;	24;	2,憑
𢧵;	24;	2,截
𢰅;	24;	2,撰
𨍮;	24;	2,轢
𨹃;	24;	2,垛,4,垛
壳;	24;	2,殼,2,殼
𨋁;	24;	2,輾
𧵤;	24;	2,財;貯,4,貯
棏;	24;	2,㭙
𦧇;	24;	2,舐,4,舐
扗;	24;	2,在;壯
𦱔;	23;	2,蓖
嫺;	23;	2,嫻
𨉃;	23;	2,妊,4,妊
𨱞;	23;	2,髦,4,髦
𦫀;	23;	2,騰,4,肉
樐;	23;	2,櫓
敂;	23;	2,叩
墪;	23;	2,墩
𢠽;	23;	2,愓
囱;	23;	2,囪;窗
𣇣;	23;	2,置
垧;	23;	2,坰
䠊;	23;	2,剕
煼;	23;	2,炒,4,炒
㔜;	23;	2,勃
𡵆;	23;	2,扈;屺,4,屺
䲷;	23;	2,梟,4,梟
𡭽;	23;	2,𡭴
𠒃;	23;	2,兕,4,兕
烖;	23;	2,災
歗;	23;	2,嘯
𦕓;	23;	2,婿
㣘;	23;	2,䞤
𡍭;	23;	2,墾,4,墾
𤜲;	22;	2,犻
𢣾;	22;	2,摩
㴑;	22;	2,溯;泝
开;	22;	2,開;亓;幵,4,幵
𠦂;	22;	2,夲
𧧂;	22;	2,診,4,診
皼;	22;	2,鼓
䓑;	22;	2,萍;蓱,4,蓱
𠎣;	22;	4,僊
抜;	22;	2,拔
玞;	22;	2,砆
𣰠;	22;	2,氍,4,,4,,4,
踁;	22;	2,脛
㠶;	22;	2,帆
𠽮;	22;	2,𠽭
𨈬;	21;	2,軀,4,軀
藳;	21;	2,稿
稺;	21;	2,稚
縀;	21;	2,緞;䪗;𩏇
𣯽;	21;	2,氆
𤛾;	21;	2,㹛
鞱;	21;	2,韜
𣷽;	21;	2,浸
櫽;	21;	2,檃;檼
厠;	21;	2,廁
謭;	21;	2,譾
畮;	21;	2,畝
谺;	21;	2,岈
𣍘;	21;	2,曹,4,曹
𨵵;	21;	2,闔
𦅂;	21;	2,䌥
𥿳;	21;	2,細
㕍;	21;	2,堆
𧃯;	21;	2,孽
𤃗;	21;	2,盥
𢓈;	21;	2,徇,4,循
𡊤;	21;	2,堋,4,堋
𢗌;	21;	2,怕,4,怕
𦷢;	21;	4,
㮆;	21;	2,櫱
㺲;	21;	2,鈕,4,鈕
𤝔;	21;	2,豺;䍸
𧞣;	21;	4,,4,示
𩨘;	21;	2,肐
𥦽;	21;	2,寔,4,寔
䋲;	21;	2,繩,4,繩
黙;	21;	2,默
𥡴;	21;	2,稽,4,稽
䔖;	20;	2,蔆
晋;	20;	2,晉
頮;	20;	2,沬
𩭤;	20;	2,鬉
𣠵;	20;	4,鬱
㹤;	20;	2,怯
𠹈;	20;	2,儺
𥿭;	20;	2,綌,4,
愳;	20;	2,懼,4,懼
渒;	20;	2,㵺
訽;	20;	2,詬
𣹢;	20;	2,涵
籴;	20;	2,糴
𠯞;	20;	2,詆,4,呧
𠼦;	20;	4,謾
𧷓;	20;	2,賣,4,賣
𧴦;	20;	2,貨
𢪺;	20;	2,拔,4,拔
𩞚;	20;	2,饜
㬢;	20;	2,曦,4,曦
悏;	20;	2,愜;㤲
㠗;	20;	2,嶴
𢚩;	20;	4,急
韒;	20;	2,鞘
愙;	20;	2,恪
𡶅;	20;	2,坡;𡽠,4,坡
𪍑;	20;	2,麨,4,麨
画;	20;	2,畫
艥;	20;	2,楫
𢢣;	20;	2,懈,2,懈
㲻;	20;	2,溺
𪅳;	20;	2,鶹
𣫘;	20;	2,㲉
𣲺;	20;	2,決
𤴲;	20;	4,疐,4,㽳
倈;	20;	2,來;徠
𥞫;	20;	2,黍,4,黍
𩑌;	20;	2,𩑣,4,
𦚰;	20;	4,脅
㵕;	20;	2,滲,4,滲
唽;	20;	2,哳;𠴭
乚;	19;	2,乙;隱,4,乙
𧒣;	19;	2,蠥
𥂖;	19;	2,盝,4,盝
錽;	19;	2,鋄
䃜;	19;	2,瑿
䤄;	19;	2,湎,4,湎
𧉻;	19;	2,蚌,4,蚌
䃺;	19;	2,磨
泴;	19;	2,盥,4,盥
𦬊;	19;	2,芑,4,芑
𨀗;	19;	2,跨,4,跨
榅;	19;	2,榲
閗;	19;	2,鬥
𧙍;	19;	2,袟,4,袠
搃;	19;	2,總;摠
肶;	19;	2,膍
靭;	19;	2,韌;肕
㧧;	19;	2,梳
㰅;	19;	2,樀
𠛱;	19;	2,列
𥈐;	19;	2,眥
貭;	19;	2,質
翄;	19;	2,翅
𢶕;	19;	2,揃,4,揃
𤫩;	19;	2,玲
𡖋;	19;	2,亦
吲;	19;	2,哂;弞
𧸐;	19;	2,膩
晄;	18;	2,晃
𧓵;	18;	2,蠆,4,蠆
𤲶;	18;	2,孿;嬲,4,嬲
謢;	18;	2,護
𧏦;	18;	2,蝡,4,蝡,4,蝡
㐸;	18;	2,欠;佽
𡽗;	18;	2,嶮,4,嶮
𦾔;	18;	2,舊
𨈭;	18;	2,聃,4,聃
𥄏;	18;	2,眵,4,眵
𪋤;	18;	2,麓
餁;	18;	2,飪,4,飪
称;	18;	2,稱
𡽀;	18;	2,嵕
𧎮;	18;	2,蚤,4,蚤
卆;	18;	2,卒
噟;	18;	2,應
𧩙;	18;	2,誕
𢱧;	18;	2,批
录;	18;	2,彔,2,錄;彔
𠮷;	18;	2,吉,4,吉
𤗉;	18;	2,窗,4,窗
汬;	18;	2,淨;阱
温;	18;	2,溫
蘯;	18;	2,蕩
珷;	18;	2,碔
𧩟;	18;	2,謥,4,謥
騘;	18;	2,驄
𣂏;	18;	2,㪺
𣚃;	18;	2,桔
𧦪;	18;	2,辯
𤶬;	18;	2,瘠;㾊,4,瘠
𣶒;	18;	2,淵
蹮;	18;	2,躚,4,躚
匵;	18;	2,櫝,4,匱
𢴃;	18;	4,據
剥;	18;	2,剝,2,剝
䧢;	17;	2,嶇
梙;	17;	2,槵
䌇;	17;	2,索
訙;	17;	2,訊;訉
竗;	17;	2,妙
闗;	17;	2,關
㼼;	17;	2,瓢
𩿾;	17;	2,鵬,4,鵬
䫙;	17;	2,顙
𧗳;	17;	2,衒,4,衒
婣;	17;	2,姻
𤹠;	17;	2,瘠,4,瘠
𢴠;	17;	2,𢴧
尛;	17;	2,麼
嗸;	17;	2,嗷,2,嗷
𠛠;	17;	2,剜,4,剜
𩣭;	17;	2,驄,4,驄
啔;	17;	2,啟
斉;	17;	2,齊
𡩺;	17;	2,寣,4,寤
𣽅;	17;	2,活
𢢽;	17;	2,懇
厷;	17;	2,右;肱
𤺨;	17;	2,瘡,4,瘡
𤵇;	17;	2,疥,4,疥
輨;	17;	2,轄;錧
㕞;	16;	2,A00346;	C00976
勐;	16;	2,猛
㰍;	16;	2,櫳
愂;	16;	2,悖
𪙉;	16;	2,齹
楼;	16;	2,樓
𧧳;	16;	2,誇,4,誇
亝;	16;	2,齊,4,齊
𤻲;	16;	2,療,4,
児;	16;	2,兒,4,兒
𠪄;	16;	2,厲
𠕅;	16;	2,再
𡊮;	16;	4,袁
𤥨;	16;	2,琢,4,琢
𤫊;	16;	2,靈
𠘶;	16;	2,否,4,否
𣄢;	16;	2,幢
徣;	16;	2,借
襧;	16;	2,𧝉
砕;	16;	2,碎
𣊹;	16;	2,量,4,量
曅;	16;	2,曄,4,曄,4,曄
娿;	16;	2,婀
憗;	16;	2,整;憖
𠇈;	16;	2,仙;企,4,仙
夹;	16;	2,夾
觽;	16;	2,觿
癅;	16;	2,瘤
𢶞;	16;	4,摋
𩏕;	16;	2,鞴
𥬰;	16;	2,冊;柵,4,冊
𦸲;	16;	2,蕅;藕,4,藕
㫬;	16;	2,昫
𥿾;	16;	2,紵
訩;	16;	2,詾
鑺;	16;	2,戵
䫉;	16;	2,貌
㗳;	16;	2,嗒
鏠;	16;	2,鋒
䰿;	16;	2,鮀
歱;	16;	2,踵
𡲘;	16;	2,尿,4,尿
联;	16;	2,聯
𧶘;	16;	2,賚
𥔐;	15;	2,磕
𡶩;	15;	2,岡,4,岡
𦤇;	15;	2,皈,4,歸
㤇;	15;	2,懊
撆;	15;	2,撇
龝;	15;	2,秋
噡;	15;	2,詹;譫
畍;	15;	2,界
𦳊;	15;	2,屎,4,屎
𠠢;	15;	2,𠟨
聀;	15;	2,職,4,聝
𢣢;	15;	2,勰,4,勰
榟;	15;	2,梓
㒧;	15;	2,儷
尗;	15;	2,菽
𧎗;	15;	2,蝌
𧨯;	15;	2,諜
𦙚;	15;	2,朔,4,朔
撶;	15;	4,樺
駡;	15;	2,罵
𢘤;	15;	2,悉,4,悉
𣍿;	15;	4,膝
醕;	15;	2,醇
单;	15;	2,單
䉽;	15;	2,粄
㯉;	15;	2,樺;樗
𦨕;	15;	2,服
岴;	15;	2,嶇
𦆝;	15;	2,縹,4,縹
籄;	15;	2,簣
𦡀;	15;	2,膝,4,膝
𩦥;	15;	2,奔
騗;	15;	2,騙
屟;	15;	2,屜;屧
坣;	15;	2,堂
𣽨;	15;	2,B02226
夛;	15;	2,多
𢫈;	15;	2,枯,4,拈
囯;	15;	2,國,4,國
厀;	15;	2,膝
㴻;	15;	2,澍,4,澍,4,瀉
𠓆;	14;	2,兢
煿;	14;	2,爆
𦎟;	14;	2,羹
侽;	14;	2,男,4,男
㕠;	14;	2,雙
𤻧;	14;	4,瘢
圗;	14;	2,圖
㩀;	14;	2,據
𦭽;	14;	2,芛
𤢜;	14;	2,獨
𤄜;	14;	2,潘,4,潘,4,氵
𢌞;	14;	2,迴
䧺;	14;	2,雄,4,碓
𨳾;	14;	2,祐,4,祐,4,祐
澑;	14;	2,溜
鐧;	14;	2,鐗
𡘆;	14;	2,夸
𣂪;	14;	2,斲
𤱶;	14;	2,畎
𡍕;	14;	2,堞,4,堞
痮;	14;	2,脹,4,脹
𩚑;	14;	2,飢,4,飢
𢟷;	14;	2,幡;憣,4,憣
𪗪;	14;	2,齝,4,齝
𦍝;	14;	2,羝
𦙠;	14;	2,胝
㯏;	14;	2,穀;馨
𪙁;	14;	2,䶥
会;	14;	2,會,4,會
𧕏;	14;	2,蠥
䯎;	14;	2,骭;幹
㬭;	14;	2,皭
孠;	14;	2,嗣,4,嗣
𥩳;	14;	2,值;待,4,待
螙;	14;	2,蠹
䐽;	14;	2,瞞
𤤯;	14;	4,玉
譃;	14;	2,謣
𤊟;	14;	4,火
毡;	14;	2,氈
仼;	14;	2,俇;彺,4,任
𢛡;	14;	2,𢝌,4,
𡨧;	14;	2,宰
㡯;	14;	2,宅;度
䊋;	14;	2,妝
𦖠;	14;	4,睒
讛;	14;	2,囈,2,囈,2,囈
鏫;	14;	2,鑗
𤘳;	14;	2,牴
肊;	14;	2,臆
陻;	14;	2,垔
㿋;	13;	2,瘙
𡣕;	13;	2,嬪
䶌;	13;	2,皰
𥈑;	13;	2,睺
𢠵;	13;	2,惝
麢;	13;	2,羚
𪘽;	13;	2,齶
𪍿;	13;	2,䵃
𢈹;	13;	2,㢈
㐄;	13;	2,跨,2,𡕒
禇;	13;	2,褚
𥛬;	13;	4,隸
𢲉;	13;	2,摖
𧷽;	13;	2,賸
𥙷;	13;	2,輔
鮌;	13;	2,鯀
𣯊;	13;	2,𣮧,4,
𦥞;	13;	2,舀,4,舀,4,舀,4,舀
烕;	13;	2,滅,4,滅
𤹪;	13;	2,傴;痀,4,傴
𤜴;	13;	2,狖,4,狖
𩞹;	13;	4,饜
𣯾;	13;	2,毾
堃;	13;	2,坤
𡗱;	13;	4,走
𡎖;	13;	2,塤
暒;	13;	2,晴
彞;	13;	2,彝
𣧘;	13;	2,舛,4,舛
鞽;	13;	2,橇;屩
㡤;	13;	4,幞
䌉;	13;	2,綱,4,綱,4,綱
㕑;	13;	2,廚
墤;	13;	2,塊;隤
𥝖;	13;	2,籺;麧;𥝬
𡁬;	13;	2,嚚,4,嚚
𦝣;	13;	2,頦;髂,4,髂
𤜶;	13;	2,狐;㺐,4,狐
桗;	13;	2,𣑫
貛;	13;	2,獾
䘍;	13;	2,蠆
㡠;	13;	2,幀,4,幀
𢋑;	13;	2,廡,4,廡
𠦑;	13;	2,叔
𨎪;	13;	2,輀
亷;	13;	2,廉
焼;	13;	2,燒
𨥁;	13;	2,釵,4,釵
𡵒;	13;	2,屺;岊,4,屺
蟸;	13;	2,蠡
䠞;	13;	2,蹙
𧶅;	13;	2,賄,4,賄
𡕆;	13;	2,懿,4,懿
隝;	13;	2,島
𡙜;	13;	2,奪,4,奪
㭟;	13;	2,恭;拲
𤕫;	12;	2,疒,4,疒
𢇹;	12;	2,底;𢇨
溆;	12;	2,漵
𠆸;	12;	2,侮;伎;攸,4,伎
鳸;	12;	2,雇
𣦃;	12;	2,前;剪
䖈;	12;	2,虐
𡼑;	12;	2,崿
㿅;	12;	2,癬
𩾲;	12;	2,鶻
䏍;	12;	2,肙
䳒;	12;	2,鳶,4,鳶,4,鳶
㷊;	12;	2,焚,4,焚
𥍿;	12;	2,盾
嶃;	12;	2,嶄;巉
𪗇;	12;	2,臍
𠮦;	12;	2,召,4,召
𧣴;	12;	2,琖
㭓;	12;	2,拚;抃;閞
𤔩;	12;	2,摑;攫
𦿕;	12;	2,樵,4,樵,4,樵
𥉕;	12;	2,矇
𢾭;	12;	2,敷
𩰿;	12;	2,鬵
梹;	12;	2,檳
𠜾;	12;	2,劂
皱;	12;	2,皺
靧;	12;	2,沬
参;	12;	2,參
蹷;	12;	2,蹶,4,蹶
𦳃;	12;	2,䓉;䔑
嶫;	12;	2,嶪,4,嶪
㤩;	12;	2,恪
𤯔;	12;	2,人,4,人
隽;	12;	2,雋
𧊧;	12;	2,蛤
㗣;	12;	2,嚏
𠬪;	12;	2,摽;莩,4,受
𧍷;	12;	2,蠚,4,蠚
𦗚;	12;	2,聻
㑢;	12;	2,𠊬
䚹;	12;	2,庀
𨓉;	12;	2,邊
𠞰;	12;	2,剿
𠐨;	12;	2,愆,4,愆
鎽;	12;	2,鋒
鈘;	12;	2,鈙;䰙
𢝔;	12;	2,惻,4,惻
䫳;	12;	2,髑
𨢩;	12;	2,觴,4,觴
𧬄;	12;	2,謝,4,謝
𢗞;	12;	4,悋
䌛;	12;	2,繇
萟;	12;	2,藝
㒋;	12;	2,廝
䑕;	12;	2,鼠
籼;	11;	2,秈
樤;	11;	2,條
䱷;	11;	2,漁
䰻;	11;	2,漁
𦃠;	11;	2,緇
𧻜;	11;	2,跪
𧩂;	11;	2,謗
㲜;	11;	2,毯
𦢚;	11;	2,膚
㠐;	11;	2,嶠
勧;	11;	2,勸
逥;	11;	2,迴
𪂃;	11;	2,鵯,4,鵯
䏊;	11;	2,聾
𠩋;	11;	2,斥
𤸌;	11;	2,癊,4,癊
𡳐;	11;	2,履,4,履
𣣱;	11;	2,欹,4,攲
𨳖;	11;	2,𨴖
歳;	11;	2,歲
暁;	11;	2,曉
疷;	11;	2,疧;胝
𨊾;	11;	2,輞,4,輞
䊀;	11;	2,糊;䉿;𥹽;𪏻,4,
𤲢;	11;	2,留
噽;	11;	2,嚭
䶍;	11;	2,嚏;𪖣
琑;	11;	2,瑣;璅
凥;	11;	2,居;尻
濚;	11;	2,濴;瀯
𢕟;	11;	2,傲
𨵁;	11;	2,閻,4,閻
庙;	11;	2,廟
鞟;	11;	2,鞹
䠰;	11;	2,踡
䛒;	11;	2,辯
忰;	11;	2,悴,4,悴
𨞮;	11;	2,聚
瓉;	11;	2,瓚
𣬉;	11;	2,毗,4,毗
𧣙;	11;	2,鯀
𥂕;	11;	2,盩,4,盩
𩢵;	11;	2,馲,4,馲
榺;	11;	2,B02226;	C05297
朼;	11;	4,朡
𠈃;	11;	2,保
𣻜;	11;	2,泭
𦡚;	11;	2,臃
䕴;	11;	2,𧂒
㦍;	11;	2,愕
𡒨;	11;	2,殯
𧌲;	11;	2,蜘
絸;	11;	2,繭
𧮈;	11;	2,謇,4,謇
𣯮;	11;	2,睫
𥃳;	11;	2,盱,4,盱
沢;	11;	2,澤
秇;	11;	2,執;藝
𥤱;	11;	2,牢;罕,4,窣,4,罕
粛;	11;	2,肅
㱔;	11;	2,些
𥊄;	10;	2,瞢
䲳;	10;	2,鴆;𦐄
𠴲;	10;	2,誻
㚈;	10;	2,升
𧬜;	10;	2,𧬊,4,
㞘;	10;	2,𡱂;䐁
瑨;	10;	2,璡
㾮;	10;	2,癀
𥳊;	10;	2,䉬
𠜓;	10;	2,剔,4,剔
𣹆;	10;	2,溘
𨻗;	10;	4,阝
𦇕;	10;	2,繖
𣦼;	10;	2,𣦻
𧇾;	10;	2,虧
㚣;	10;	2,姣
斚;	10;	2,斝
攟;	10;	2,捃
𢛌;	10;	2,憁
亯;	10;	2,亨;享;烹
𧢲;	10;	2,角
熌;	10;	2,煔
𣫎;	10;	4,殳
汅;	10;	2,沔
𡐛;	10;	2,塹,4,塹
𨺙;	10;	4,
𣅳;	10;	2,昃
鱏;	10;	2,鱘,2,鱘
嬔;	10;	2,嬎
𦍩;	10;	2,羖,4,羖
旤;	10;	2,禍;𣄸
羴;	10;	2,羶
𠯁;	10;	2,足
𩗋;	10;	2,帆,4,帆
𠔏;	10;	2,共
权;	10;	2,權
𥿈;	10;	2,紱
𡎰;	10;	2,墀,4,墀
㰎;	10;	2,檇
昚;	10;	2,慎
𤎩;	10;	2,燧
𢗗;	10;	2,忕
𨻵;	10;	2,𤗯;陮
䙝;	10;	2,褻
骵;	10;	2,體
𪍑;	10;	2,麨,4,麨
𡦗;	10;	2,孺
湶;	10;	2,泉
𨀣;	10;	2,企;跂,4,企
梦;	10;	2,夢
䔩;	10;	2,蔌;蓛
𦂛;	10;	2,絁
𠵊;	10;	2,善,4,善
㖸;	10;	2,噱
䮃;	10;	2,驅,4,驅
𧒢;	10;	2,蝨
㴉;	10;	2,濟
髗;	10;	2,顱
𤈍;	10;	2,炯,4,炯
𢙼;	10;	2,悻
𤅀;	10;	2,瀛
岹;	10;	2,岧,4,岧
僫;	10;	2,惡
𢗡;	10;	2,忞,4,忮
䶢;	10;	2,䶠,4,䶠,4,䶠
䔋;	10;	2,莎
栞;	9;	2,刊;𣓁
𤙹;	9;	2,總,4,摠
穷;	9;	2,窮
𣜥;	9;	2,檄,4,檄
𠅸;	9;	4,耄
𦐊;	9;	2,翅
𤑏;	9;	2,𤐧,4,煏
𢆎;	9;	2,幸
焳;	9;	2,爝
爗;	9;	2,燁
𣑮;	9;	4,栴
廹;	9;	2,迫
𥠾;	9;	2,耩
𠻲;	9;	4,迦
疉;	9;	2,疊
𩎉;	9;	2,蹝;𩌦,4,躧
𦇷;	9;	2,轡
𡄻;	9;	4,口
竂;	9;	2,寮
𧿶;	9;	2,跎,4,跎
冸;	9;	2,泮
䮽;	9;	2,鑣
𨧲;	9;	2,鍱,4,鍱
𪊭;	9;	2,麟,4,麟
𧣈;	9;	2,觸;斛
𨖫;	9;	2,達,4,達
㩗;	9;	2,攜
𠥱;	9;	2,月;生,4,月
𤓁;	9;	2,爓
孆;	9;	2,嬰
𨴊;	9;	2,闋;關,4,關
妸;	9;	2,婀
𩋋;	9;	2,韉
埈;	9;	2,峻
㭉;	9;	2,㭉
𧵩;	9;	2,責,4,責
崈;	9;	2,崇
刘;	9;	2,劉
𧑱;	9;	2,蜇
亀;	9;	2,龜
蛱;	9;	2,蛺
𠃊;	9;	2,乙
𤉋;	9;	4,烝
轜;	9;	2,軟;輀
寽;	9;	2,捋
𪎭;	9;	2,𪐎
𨨞;	9;	4,斧
嚉;	9;	2,咄
㬱;	9;	2,替,2,朁,4,替
𪉩;	9;	2,鹽,4,鹽
𤓥;	9;	2,爨,4,爨
𩩱;	9;	2,髂,4,髂
㻁;	9;	2,瑰;𤪿
𠹗;	9;	2,哳
読;	9;	2,讀
𥋚;	9;	2,䁾
𣂰;	9;	2,鼎
伲;	9;	2,你
豼;	9;	2,貔
濳;	9;	2,潛
䗦;	9;	2,蜂
𧓲;	9;	2,蛘
𧌡;	9;	2,虱
𡧃;	9;	2,冗;穴
䃲;	9;	2,磐
𩓱;	9;	2,頷
暦;	9;	2,曆
恖;	9;	2,思
𡅘;	9;	2,𡂏
沵;	9;	2,沶;沴;濔
藴;	9;	2,蘊,4,蘊
㵳;	9;	2,漻
𡬽;	9;	2,剽
𥵨;	9;	2,䉲
𧳯;	9;	4,豬
秐;	9;	2,耘
劳;	9;	2,勞
𡼲;	9;	2,嶔,4,嶔
𥝣;	9;	2,秠
賉;	9;	2,卹
𪆗;	9;	2,𪆁,4,
㩒;	9;	2,擒
厳;	9;	2,嚴
䒶;	9;	2,天
𣏐;	9;	2,杓,4,杓
𠫹;	9;	2,單,4,單
𤌉;	9;	2,炒
𨇮;	9;	2,蹶,4,蹶
㘱;	9;	2,坍,2,坍
䰻;	9;	2,漁
㢭;	9;	2,弢,4,弢
𩝙;	9;	2,嗜,4,嗜
暭;	9;	2,皞
𡵉;	9;	2,屼,4,屼
袄;	9;	2,襖
䰗;	9;	2,鬮
𢲘;	8;	2,探
𤊽;	8;	2,燎,4,燎
𡑢;	8;	2,堞
𩋸;	8;	2,鞕
埊;	8;	2,地
鐂;	8;	2,劉;鎦
疃;	8;	2,畽
㧈;	8;	2,引
孏;	8;	2,嬾
𩰲;	8;	2,鬲
㡣;	8;	2,龍
𢀴;	8;	2,厄
禩;	8;	2,祀,4,祀
鬴;	8;	2,釜;鬲
𨒛;	8;	2,邇,4,邇
𩥟;	8;	2,騞
𥮅;	8;	2,算
𥆐;	8;	2,䁩
㠗;	8;	2,嶴
𣐀;	8;	4,校
𣔳;	8;	2,柝
𣭞;	8;	2,毦
𢂿;	8;	2,帢
昗;	8;	2,昃
祘;	8;	2,算;筭
𪉩;	8;	2,鹽,4,鹽
畠;	8;	2,甾
庐;	8;	2,廬
憻;	8;	2,坦
𤠞;	8;	2,貔,4,貔
㜽;	8;	2,子
𦠆;	8;	2,饌;䐣
㮎;	8;	2,杯;盃
𣖀;	8;	2,梗,4,梗
𡳅;	8;	2,憩;愒
