char;	count;	type,std_chars
覊;	383;	2,羈,2,羈
斵;	381;	2,斲
軆;	379;	2,體
肎;	379;	2,肯
臰;	375;	2,臭,4,臭
鉄;	371;	2,鐵;紩
宼;	368;	2,寇
灮;	366;	2,光
裩;	360;	2,褌
羗;	359;	2,羌;羑
𠊳;	357;	2,便,4,便
姙;	357;	2,妊,4,妊
頺;	357;	2,穨,2,頹
𥨊;	356;	2,寢
侫;	354;	2,佞
吴;	353;	2,吞;吳
礼;	352;	2,禮
𡧱;	351;	2,害,4,害
数;	349;	2,數
𩯭;	349;	2,鬢
竒;	347;	2,奇
呞;	346;	2,齝
醻;	344;	2,酬
歬;	339;	2,前
髠;	335;	2,髡
䂓;	335;	2,規;瞁
厓;	329;	2,崖;涯;睚
𠬧;	328;	2,收,4,收
閴;	328;	2,闃
謌;	328;	2,歌,4,歌
経;	327;	2,經
䆳;	326;	2,邃
飈;	324;	2,飆,4,飆
竆;	324;	2,窮,2,窮,4,窮
抝;	322;	2,拗
从;	316;	2,從,4,從
伇;	315;	2,役
𠮧;	314;	2,叫,4,叫
薗;	313;	2,園,4,園
槖;	313;	2,橐
茘;	313;	2,荔,4,荔
廸;	312;	2,迪
伱;	310;	2,你
糺;	309;	2,糾
学;	303;	2,學;孛,4,學
𤨏;	301;	2,瑣,4,瑣
乹;	301;	2,乾
桒;	300;	2,桑,2,未;桑,4,桑,4,桑
𠺕;	300;	4,
辞;	299;	2,辭,2,辭
𢿘;	298;	2,數
蹹;	298;	2,踏;蹋
遡;	297;	2,溯;泝
観;	296;	2,觀,4,觀
堕;	288;	2,墮
仾;	287;	2,低
憇;	286;	2,憩
㪯;	284;	2,舉
𡨥;	283;	2,寇,4,寇
爼;	280;	2,俎
𢫾;	280;	2,指
従;	279;	2,從,4,從
噏;	279;	2,吸;歙
綉;	277;	2,繡
邨;	275;	2,村
悑;	274;	2,怖
萠;	273;	2,萌,4,萌
軄;	272;	2,職,4,職
迯;	272;	2,逃
眎;	272;	2,示;視
𢍆;	269;	2,契,4,契
鎁;	269;	2,釾
聡;	268;	2,聰
応;	267;	2,應
𠡠;	264;	2,敕,4,勅
䧟;	263;	2,陷
蹰;	263;	2,躕,4,躕
𢷤;	260;	2,擯
