不,3294541
無,2708357
一,2510290
是,2316437
有,2284088
之,2060876
者,2026312
如,1903883
法,1855218
為,1794717
故,1736536
二,1595295
生,1558844
三,1503494
此,1486216
佛,1426118
所,1392199
也,1371415
以,1360294
云,1342110
人,1267838
中,1178478
於,1168857
若,1153758
大,1149380
得,1148121
心,1145714
諸,1036150
說,1033984
十,1027527
而,1012225
相,1001999
行,975895
名,953742
見,894109
何,876805
即,866893
師,861030
曰,855428
四,850173
非,848573
言,845754
等,836934
上,819306
時,805664
道,796146
來,784296
自,780404
其,779938
明,775298
知,763900
世,717636
亦,714156
能,713857
菩,711610
作,692716
眾,687562
下,671184
我,665273
薩,649787
經,647703
身,635454
五,635128
切,624426
子,604364
善,596913
因,585465
謂,585249
至,580973
緣,571784
處,567133
第,565788
智,562327
天,556447
成,554973
可,548822
應,547147
在,539099
界,537304
性,533332
彼,530946
種,523853
淨,522088
出,521486
分,517183
義,516975
地,515105
問,507437
前,503219
今,502410
羅,501439
空,500641
後,500379
正,493848
別,492970
與,484463
門,478942
則,474385
初,466229
方,460811
已,458721
事,458478
受,456884
僧,447425
皆,445638
王,441534
然,434301
入,433182
本,430788
又,430392
住,428110
觀,425607
六,425583
意,424944
當,423152
同,416346
文,414128
多,409378
山,402438
未,394431
色,394336
修,393327
依,392329
解,392199
日,390247
復,387834
起,386988
識,384165
現,379945
釋,377786
真,376811
從,374335
乃,373761
聞,372893
欲,369828
及,358609
論,354472
念,352932
滅,347450
八,345974
實,344047
教,341675
便,340640
離,340459
或,338809
定,338523
隨,333723
果,333401
常,330040
通,329855
德,329305
根,323331
七,319337
次,310882
尊,309383
比,304597
令,303007
覺,299300
由,294044
斷,290245
清,289809
業,288838
去,287792
提,287256
禪,284570
具,284306
阿,283724
異,283573
難,283274
戒,282675
用,282151
他,279804
樂,275392
丘,272655
語,271676
體,271451
合,270842
持,268768
苦,266778
利,264330
汝,261531
光,260847
間,257749
摩,257049
乘,256293
盡,255858
過,255678
理,254920
聲,252779
量,249618
慧,244910
力,240080
外,239713
答,238401
年,237796
聖,236047
餘,236027
取,234076
南,232873
百,232772
勝,232056
長,229048
句,228248
發,226148
立,224308
千,223881
爾,222904
寶,222849
麼,221475
安,221063
波,220038
華,220007
家,219708
思,218987
雖,218647
反,218646
惡,218503
金,217300
唯,216503
著,216385
化,215948
水,213400
學,212150
藏,211706
耶,211600
妙,211487
月,211195
轉,211056
須,210681
境,209681
證,207238
但,206295
死,206209
九,205745
眼,205203
顯,205188
足,205126
神,205111
信,204852
向,204638
先,201857
重,199339
卷,199280
國,198409
食,197261
白,195566
和,195422
了,195384
想,194607
圓,194513
願,194497
開,192283
那,191427
結,189537
求,189076
頭,188976
俱,188741
音,188613
萬,188565
既,187856
示,186065
廣,184509
破,180879
施,180550
攝,180422
會,179736
對,176102
物,175860
就,174342
尼,174080
脫,172749
引,171801
字,171595
小,170198
捨,170121
宗,169682
深,169347
陀,169209
內,169195
數,168389
沙,166528
婆,166383
度,164128
嚴,164083
品,162497
還,161823
功,161367
舉,160531
衣,160185
各,155391
流,154858
主,154791
位,154703
雲,153750
老,153514
般,152608
海,152573
舍,151934
諦,151541
歸,151045
惱,150893
喜,150285
妄,150142
命,149142
風,149078
迦,148708
土,148104
甚,147807
居,147390
更,147180
滿,146285
將,145280
總,145170
堂,145167
尚,144830
香,144695
情,144164
報,143568
請,143330
槃,141986
往,141120
塵,140446
執,140241
寺,139692
坐,138253
涅,137663
