type,char,frequency
no_gaiji,Ś,93
zzs,[○@●],92
zzs,[?╳],91
no_gaiji,６,90
no_gaiji,コ,89
no_gaiji,す,89
no_gaiji,／,89
no_gaiji,７,88
no_gaiji,８,86
zzs,[口*隸],86
zzs,[(薩-文+(立-一))/木],86
zzs,[乏-之+犬],85
zzs,[○@、],84
zzs,[(丰*力)/石],83
no_gaiji,ヤ,83
zzs,[揆-天+(口/又)],82
no_gaiji,９,82
zzs,[冉-工+又],81
zzs,[仁-二+印],79
no_gaiji,ヨ,79
zzs,[前-刖+老],78
zzs,[這-言+((留-田)-刀+ㄗ)],78
zzs,[?(●/(○*○))],78
no_gaiji,J,78
no_gaiji,`,77
no_gaiji,マ,77
zzs,[(卄/至)*寸],76
zzs,[打-丁+親],76
no_gaiji,な,75
no_gaiji,い,75
zzs,[亭*也],74
zzs,[一/(川*(乞-乙+〡))],73
no_gaiji,フ,72
zzs,[去/(冗-几+牛)],72
no_gaiji,０,71
zzs,[王*梨],71
no_gaiji,ソ,71
no_gaiji,た,71
zzs,[摻-(彰-章)+小],71
zzs,[禾/干],70
no_gaiji,れ,69
zzs,[□@○],69
zzs,[去/(冗-几+手)],69
zzs,[○@△],68
zzs,[口*(隸-木+匕)],68
zzs,[目*(宜/八)],67
zzs,[宋-木+(烈-列+(十/目))],67
zzs,[感*鳥],66
zzs,[艸-屮],66
zzs,[篾-戍+(冗-几+伐)],65
no_gaiji,▽,65
zzs,[(天*天)/日],64
zzs,[跳-兆+尃],64
zzs,[跳-兆+善],64
zzs,[橘-矛+隹],64
no_gaiji,メ,64
zzs,[口*(隆-一)],63
zzs,[○@║],63
zzs,[卑*也],63
zzs,[月*逄],63
zzs,[口*(椔-田+夕)],62
zzs,[(罩-卓+止)*寸],62
zzs,[○/(○*○)],61
zzs,[慘-(彰-章)+小],59
zzs,[估-口+(田/寸)],59
zzs,[口*縳],59
zzs,[○@◇],58
zzs,[禾*尒],58
zzs,[羔-王+田],57
zzs,[失*見],56
zzs,[〦/失/衣],56
zzs,[○@│],56
no_gaiji,あ,55
zzs,[○@牛],55
zzs,[臊-品+巳],55
no_gaiji,が,55
no_gaiji,┬,54
zzs,[打-丁+(褒-保+可)],54
zzs,[亡/(罩-卓+(月*羊*几))],54
no_gaiji,セ,53
zzs,[宋-木+(大-一+三)],52
no_gaiji,＋,52
zzs,[打-丁+(姊-女)],52
zzs,[栽-木+(万-一)],51
zzs,[(天*天)/貝],51
zzs,[彳*巳],51
zzs,[彰-章+(石-口+旦)],51
zzs,[寧*立],50
zzs,[仁-二+(亡/大)],50
zzs,[穀-(一/禾)+(夕*ㄗ)],50
zzs,[鍐-凶+(离-禸)],49
no_gaiji,Ā,49
zzs,[番*支],49
zzs,[田/八/力],49
zzs,[今/一],49
zzs,[孰/火],48
zzs,[□@□],48
zzs,[??卍],48
zzs,[〦/畏],48
zzs,[郫-卑+((白-日+田)/廾)],48
zzs,[監-皿+糸],47
zzs,[冗-几+豕],47
zzs,[目*候],46
zzs,[口*梵],46
zzs,[泳-永+粵],45
zzs,[白-日+(丹-、+十)],45
zzs,[啊-可+(嶙-山)],45
no_gaiji,く,45
zzs,[嚂-皿+見],45
zzs,[言*奉],45
zzs,[捐-口+上],45
no_gaiji,ミ,45
zzs,[虫*ㄆ],44
no_gaiji,ワ,44
zzs,[午/止],44
no_gaiji,﹂,44
zzs,[門@(ㄙ/大)],44
zzs,[慢-又+万],43
no_gaiji,◑,43
no_gaiji,;,43
zzs,[跳-兆+(參-(彰-章)+小)],43
zzs,[└@(大/品)],42
zzs,[米-木+八],42
zzs,[(厂@?)*頁],42
no_gaiji,で,42
zzs,[邱-丘+(丹-、+一)],42
zzs,[必-心],42
no_gaiji,Ṅ,42
zzs,[(止/(谷-口+目))*殳],42
zzs,[扥-(打-丁)+金],41
zzs,[泛-之+犬],41
no_gaiji,ウ,41
zzs,[田/恭],41
zzs,[(土/米)*(土/米)],41
zzs,[金*(离-禸+ㄆ)],41
no_gaiji,つ,41
zzs,[○@缺],41
zzs,[門@(服-月+圭)],41
zzs,[(止/天)*(企-止+米)],41
zzs,[島-山+力],40
zzs,[少/(兔-、)],40
zzs,[卄/補],40
zzs,[日*旨],40
zzs,[病-丙+猒],40
zzs,[門@井],40
zzs,[□@◇],39
zzs,[夢-夕+(夕*戈)],39
zzs,[口*部],39
zzs,[巾*勾],39
zzs,[施-也+圭],39
zzs,[口*特],39
zzs,[仁-二+幻],38
zzs,[緲-目+耳],38
zzs,[竺-二+(一/(尸@邑))],38
no_gaiji,エ,38
zzs,[巳/女],38
zzs,[羽-?+又],38
no_gaiji,Z,38
zzs,[冰-水+監],38
zzs,[(圪-乙+田)/皿],37
zzs,[彳*又],37
zzs,[(阜-十+止)*責],37
zzs,[膜-大+(句-口+匕)],37
zzs,[(ㄇ@人)/ㄙ/月],37
zzs,[乘*頁],37
zzs,[厂@墨],37
zzs,[癈-殳+矢],36
no_gaiji,ら,36
zzs,[言*恣],36
zzs,[巾*((ㄇ@人)/登)],36
zzs,[慢-又+心],36
no_gaiji,⊙,36
zzs,[戒-廾+人],36
zzs,[孑*(舄-臼+(十/田))],36
no_gaiji,チ,35
zzs,[口*(黍-禾+利)],35
zzs,[口*致],35
zzs,[名*也],35
zzs,[跳-兆+參],35
no_gaiji,か,35
no_gaiji,w,35
zzs,[林/(白-日+几)],35
zzs,[糸*(冬-ㄆ+免)],35
zzs,[婁*支],35
zzs,[淴-心+口],35
zzs,[一/且],35
zzs,[(工*几)/石],34
zzs,[貝*戒],34
no_gaiji,こ,34
zzs,[卄/敞],34
no_gaiji,ヒ,34
zzs,[狂-王+(山/日/(句-口+匕))],34
zzs,[○@庚],34
zzs,[虛*予],34
zzs,[武*我],33
zzs,[口*專],33
zzs,[此/且],33
zzs,[口*(唐-口+(走-土))],33
zzs,[寤-吾+告],33
zzs,[(尸@月)*(辛-二+三)],33
zzs,[健-聿+手],32
zzs,[(阜-十+止)*頁],32
zzs,[國*瓜],32
zzs,[菟-(色-巴)+(〦-一)],32
zzs,[萉-巴+(日/(句-口+匕))],32
zzs,[(曷-人+乂)*頁],32
zzs,[胺-女+(尸@貝)],32
zzs,[婬-壬+工],32
zzs,[病-丙+木],32
no_gaiji,ロ,32
no_gaiji,よ,32
no_gaiji,べ,32
zzs,[打-丁+(瓜-、)],31
zzs,[骨*專],31
zzs,[款-士+止],31
zzs,[△@、],31
zzs,[(上/天)*(入/米)],31
zzs,[重/(衣-〦)],30
zzs,[元/龜],30
zzs,[宋-木+舌],30
zzs,[口*(隸-木+上)],30
no_gaiji,⊕,30
zzs,[口*姪],30
zzs,[十/(罩-卓+心)],30
zzs,[○@註],29
zzs,[打-丁+羡],29
zzs,[(ㄇ@(企-止))/齊],29
zzs,[囗@(儿/口)],29
zzs,[卄/(雪-雨+(雪-雨))],29
zzs,[隹/(至-土)],29
no_gaiji,㊁,29
zzs,[((素-糸)*力)/石],29
no_gaiji,き,29
zzs,[戒-廾+ㄠ],28
zzs,[打-丁+(券-刀+(令-(合-口)+、))],28
zzs,[聲-耳+(夕*(ㄗ@、))],28
zzs,[門@(恙-心+皿)],28
zzs,[玨/覞],28
zzs,[打-丁+袲],28
zzs,[卄/敉],28
zzs,[(匕/示)*(入/米)],28
zzs,[方*耳],28
zzs,[革*薎],28
zzs,[拐-刀+(之-、)],28
zzs,[○@戊],28
