type,char,char_freq
std,貪,95450
std,聽,95399
std,虛,95019
std,首,94654
std,書,94625
std,漢,94306
std,機,93694
std,部,93609
std,忍,93586
std,斯,93222
std,造,92082
std,元,91942
std,母,91817
std,的,91571
std,壞,91269
std,賢,90955
std,邪,89517
std,乎,89398
std,律,89345
std,城,89183
std,礙,89118
std,男,88875
std,石,88811
std,久,88647
std,壽,87938
std,告,87698
std,假,87599
std,帝,87471
std,花,86741
std,剛,86662
std,剎,86141
std,譬,86018
std,面,85240
std,放,84498
std,略,84398
std,誦,84247
std,近,84134
std,敬,83385
std,獨,82956
std,加,82954
std,惑,82699
std,許,82090
std,治,81737
std,吾,81472
std,支,81351
std,計,80956
std,屬,80946
std,退,80568
std,弟,80336
std,俗,79385
std,全,79276
std,太,79115
std,頂,78659
std,布,78420
std,譯,77725
std,父,76803
std,遂,76550
std,印,76419
std,己,75431
std,于,74543
std,箇,74098
std,曾,73807
std,莊,73672
std,息,73668
std,密,73628
std,落,73533
std,裏,73485
std,陰,72808
std,參,72524
std,伏,72300
std,誰,71396
std,殺,71352
std,靈,71315
std,尋,71224
std,魔,71199
std,議,70922
std,迷,70892
std,像,70778
std,底,70714
std,打,70375
std,路,70013
std,違,69670
std,絕,68623
std,只,68564
std,蘊,68194
std,設,68182
std,被,68104
std,興,67956
std,味,67844
std,看,67494
std,奉,67385
std,玄,67303
std,墮,67297
std,半,67135
std,葉,66509
std,並,66278
std,藥,65870
std,易,65730
std,儀,65351
std,昔,64869
std,倒,64800
std,辨,64539
std,永,64523
std,熟,64390
std,都,64385
std,木,64366
std,哉,64257
std,虗,64171
std,周,63506
std,究,63226
std,末,63154
std,散,63053
std,表,62951
std,威,62868
std,氣,62772
std,決,62616
std,聚,62382
std,錄,61973
std,際,61715
std,志,61582
std,讚,61427
std,雨,61310
std,覆,61300
std,黃,61114
std,新,60946
std,隱,60403
std,塔,59938
std,馬,59887
std,畢,59672
std,迴,59626
std,草,59531
std,號,59211
std,亂,59197
std,却,58991
std,河,58848
std,輕,58684
std,徧,58650
std,望,58534
std,某,58482
std,雜,58380
std,宿,58221
std,鬼,58177
std,建,57984
std,這,57974
std,夢,57929
std,磨,57825
std,感,57742
std,遊,57669
std,恒,57419
std,北,57379
std,蓮,57366
std,獄,57255
std,財,57153
std,制,56954
std,歲,56886
std,歡,56361
std,右,56118
std,授,55770
std,杖,55753
std,愚,55571
std,畏,55299
std,燈,54861
std,遮,54458
std,標,54293
std,勤,54285
std,繫,54282
std,鉢,54251
std,歎,54147
std,祇,53939
std,續,53908
std,蓋,53835
std,幻,53830
std,漸,53776
std,鼻,53759
std,青,53725
std,象,53669
std,旨,53494
std,露,53286
std,毘,53263
std,癡,53219
std,臨,52922
std,雪,52748
std,細,52503
std,待,52432
std,超,52298
std,齊,52136
std,牛,51904
std,里,51589
std,幾,51464
std,雙,51429
std,濟,51383
std,頓,51261
std,章,51181
std,含,51162
std,囉,50817
std,窮,50807
std,權,50731
std,沒,50680
std,堅,50335
std,你,50243
std,室,49950
std,忽,49452
std,宣,49449
std,況,49385
std,慮,49262
std,端,49192
std,容,48872
std,影,48768
std,舌,48739
std,任,48393
std,承,48350
std,述,48175
std,丈,48045
std,致,48008
std,宮,47894
std,獲,47454
std,吉,47393
std,珠,47330
std,調,47267
std,悔,47166
std,勸,47164
std,害,46653
std,喝,46626
std,陽,46560
std,良,46549
std,拈,46509
std,舊,46464
std,忘,46297
std,節,46127
std,春,45906
std,氏,45795
std,存,45790
std,縛,45747
std,瞋,45534
std,徒,45529
std,互,45457
std,越,45434
std,朝,45191
std,置,45141
std,乞,45021
std,笑,45009
std,守,44981
std,遇,44978
std,宜,44895
std,特,44874
std,焉,44804
std,眠,44601
std,恩,44586
std,唐,44468
std,代,44291
std,甲,44174
std,童,44121
std,江,44087
std,什,44078
std,恐,44063
std,兒,43896
std,无,43845
std,君,43603
std,拜,43404
std,呪,43378
std,資,43363
std,飲,43184
std,演,43150
std,殿,43057
std,慢,43028
std,據,42922
std,器,42690
std,億,42633
std,垢,42567
std,翻,42539
std,燒,42287
std,峰,41935
std,回,41915
std,疾,41825
std,遣,41379
std,列,41358
std,察,41186
std,毛,41052
std,服,40857
std,憂,40830
std,浮,40730
std,消,40637
std,場,40250
std,序,40154
std,寒,40115
std,臣,40070
std,優,40032
std,侍,39989
std,野,39962
std,懷,39588
std,辯,39500
std,固,39365
std,源,39259
std,左,39178
std,田,39155
std,弗,39141
std,毒,38966
std,仁,38894
std,橫,38860
std,留,38779
std,怖,38689
std,厭,38554
std,兼,38497
std,檀,38420
std,救,38359
std,歷,38223
std,逸,38182
std,羯,37962
std,恁,37879
std,并,37612
std,寧,37477
std,步,37453
std,院,37205
std,拄,37145
std,簡,37074
std,關,37055
std,契,37033
std,交,37022
std,曇,36996
std,積,36753
std,個,36680
std,降,36666
std,乾,36653
std,懺,36529
std,車,36482
std,仰,36462
std,掌,36429
std,縱,36426
std,鏡,36378
std,領,36286
std,玉,36219
std,陳,36116
std,娑,35834
std,辭,35782
std,點,35779
std,嗣,35685
std,收,35675
std,偏,35545
std,盛,35494
std,泉,35369
std,貴,35344
std,孔,35218
std,姓,35200
std,休,35054
std,融,34983
std,堪,34959
std,肉,34929
std,速,34798
std,注,34673
std,闍,34578
std,話,34433
std,巧,34375
std,巖,34319
std,連,34252
std,棄,34221
std,仙,34146
std,亡,33958
std,呵,33941
std,熏,33808
std,勞,33764
std,友,33609
std,官,33588
std,鳥,33374
std,泥,33371
std,推,33369
std,段,33226
std,誠,33155
std,秋,33126
std,運,33067
std,客,32979
std,叉,32950
std,例,32885
std,飛,32728
std,顛,32694
std,骨,32658
std,詣,32591
std,臥,32589
std,鐵,32521
std,讀,32500
std,洞,32499
std,嚩,32430
std,毗,32296
std,恭,32224
std,接,32212
std,弘,32142
std,付,32138
std,飯,31870
std,民,31849
std,樓,31819
std,視,31773
std,補,31719
std,再,31576
std,尸,31530
std,導,31437
std,園,31396
std,夏,31339
std,勢,31149
std,毀,31139
std,拂,31097
std,載,31088
std,徹,31076
std,擇,31056
std,勿,30999
std,登,30934
std,希,30933
std,呼,30866
std,唱,30856
std,劣,30763
std,助,30737
std,熱,30705
std,勒,30697
std,患,30668
std,講,30660
std,憶,30517
std,戲,30391
std,慶,30333
std,減,30271
std,逆,30258
std,敢,30214
std,孤,30203
std,原,30195
std,諍,30181
std,畜,30098
std,維,30089
std,咸,30079
std,謗,29928
std,奇,29921
std,臺,29871
std,期,29772
std,垂,29750
std,免,29721
std,默,29652
std,張,29626
std,遺,29606
std,活,29537
std,黑,29506
std,揚,29446
std,峯,29390
std,夷,29381
std,喚,29343
std,曲,29160
std,賊,29049
std,群,28888
std,典,28684
std,池,28659
std,每,28412
std,展,28369
std,損,28323
std,背,28235
std,菴,28201
std,迹,28156
std,備,28001
std,強,27856
std,齋,27838
std,皇,27830
std,虎,27808
std,錢,27804
std,芻,27682
std,角,27553
std,談,27496
std,苾,27441
std,驚,27415
std,美,27358
std,暗,27267
std,予,27266
std,髮,27258
std,送,27252
std,軍,27245
std,專,27141
std,顧,27130
std,延,27079
std,富,27066
std,盧,27032
std,科,26969
std,宋,26806
std,詮,26788
std,痛,26722
std,鼓,26661
std,穢,26595
std,房,26400
std,投,26327
std,甘,26251
std,擬,26211
std,審,26193
std,質,26184
std,刀,26148
std,星,26148
std,猛,26038
std,逢,26035
std,脚,25984
std,棒,25955
std,塞,25953
std,准,25906
std,誓,25791
std,適,25679
std,溪,25676
std,蘭,25635
std,枝,25546
std,岸,25545
std,武,25505
std,網,25447
std,奪,25328
std,錯,25322
std,畫,25123
std,徵,25034
std,改,24988
std,眷,24961
std,竹,24908
std,赤,24845
std,耨,24707
std,陵,24525
std,悅,24490
std,責,24472
std,謝,24439
std,饒,24413
std,索,24411
std,貧,24348
std,單,24331
std,梨,24331
std,走,24286
std,寄,24108
std,恚,24031
std,把,23844
std,彰,23774
std,孝,23767
std,否,23738
std,楞,23584
std,松,23462
std,冥,23462
std,妨,23460
std,祥,23367
std,幢,23296
std,題,23248
std,負,23233
std,喫,23130
std,才,23126
std,竺,23104
std,余,23085
std,魚,23076
std,胎,23017
std,擊,23001
std,胡,22993
std,曉,22986
std,怨,22906
std,勇,22842
std,給,22807
std,判,22764
std,梁,22745
std,幽,22742
std,茶,22732
std,遷,22704
std,詳,22693
std,純,22636
std,珍,22630
std,酒,22541
std,盜,22433
std,衛,22386
std,鈔,22329
std,爭,22273
std,台,22242
std,惠,22236
std,限,22205
std,逐,22149
std,禁,22117
std,詩,22102
std,紙,22029
std,圖,21973
std,瑜,21962
std,烏,21953
std,充,21931
std,途,21867
std,蘇,21843
std,短,21798
std,省,21787
std,藐,21776
std,拘,21696
std,帶,21666
std,纏,21656
std,史,21645
std,塗,21602
std,蒙,21540
std,孫,21505
std,移,21503
std,條,21503
std,旬,21488
std,兄,21484
std,尺,21479
std,脩,21452
std,濁,21384
std,洗,21374
std,圍,21365
std,嘗,21338
std,趙,21292
std,李,21269
std,吳,21241
std,壁,21210
std,卓,21193
std,衲,21192
std,御,21182
std,皮,21140
std,急,21108
std,仍,21056
std,婬,21054
std,毫,21027
std,鳴,20994
std,招,20984
std,京,20980
std,肯,20978
std,麤,20951
std,預,20936
std,拔,20874
std,快,20739
std,狀,20720
std,殘,20681
std,私,20648
std,涉,20644
std,徑,20603
std,折,20591
std,申,20538
std,嘉,20537
std,愍,20498
std,覩,20460
std,賜,20454
std,闕,20447
std,眉,20432
std,素,20428
std,敘,20390
std,尾,20389
std,歌,20313
std,淺,20303
std,早,20236
std,血,20114
std,卻,20041
std,崇,20031
std,隔,20003
std,工,19987
std,瓶,19962
std,晉,19896
std,庵,19894
std,附,19879
std,瑞,19819
std,案,19737
std,跡,19706
std,瞿,19679
std,篇,19676
std,憍,19671
std,商,19644
std,廢,19635
std,牒,19622
std,召,19613
std,乳,19577
std,府,19554
std,婦,19548
std,閻,19535
std,按,19431
std,干,19417
std,薄,19278
std,賓,19124
std,戶,19085
std,宅,19062
std,吹,19059
std,突,19013
std,值,18893
std,牟,18876
std,伊,18862
std,率,18811
std,吒,18775
std,傷,18766
std,返,18763
std,蛇,18728
std,銀,18651
std,納,18612
std,怛,18544
std,屈,18534
std,纔,18516
std,族,18513
std,啟,18429
std,床,18388
std,哀,18378
std,訖,18377
std,愧,18362
std,累,18349
std,詔,18340
std,曹,18321
std,睡,18319
std,晝,18301
std,幸,18294
std,懸,18282
std,潤,18281
std,博,18265
std,敷,18236
std,司,18201
std,污,18198
std,準,18167
std,跋,18154
std,驗,18128
std,鈍,18105
std,伴,18077
std,茲,18027
std,谷,18022
std,閒,17938
std,閣,17907
std,慚,17876
std,浪,17848
std,浴,17832
std,贊,17826
std,村,17806
std,兵,17793
std,保,17767
single_vt,麤,17720
std,紅,17553
std,澄,17551
std,狂,17533
std,震,17445
std,試,17429
std,壇,17355
std,川,17257
std,寫,17255
std,祕,17226
std,迎,17224
std,伺,17195
std,閑,17171
std,怒,17148
std,傍,17127
std,囑,17103
std,遙,17078
std,旋,17054
std,雅,17009
std,辦,16939
std,鹿,16910
std,哩,16885
std,涼,16871
std,湖,16840
std,繞,16788
std,楊,16777
std,響,16764
std,妻,16709
std,逝,16681
std,景,16665
std,追,16636
std,賀,16624
std,片,16576
std,羊,16522
std,紫,16425
std,船,16415
std,考,16347
std,洹,16297
std,縣,16282
std,洲,16264
std,韓,16209
std,灌,16186
std,舟,16129
std,卒,16091
std,奈,16069
std,瞻,16064
std,辟,16047
std,丁,16033
std,統,15964
std,委,15887
std,勅,15883
std,頗,15878
std,冬,15877
std,透,15857
std,履,15777
std,認,15736
std,冷,15727
std,註,15725
std,魏,15715
std,雷,15714
std,晚,15695
std,曼,15640
std,庭,15623
std,屋,15604
std,揀,15568
std,枯,15561
std,暫,15561
std,獻,15521
std,秦,15506
std,竭,15453
std,沈,15448
std,叢,15446
std,醫,15436
std,軌,15425
std,筆,15414
single_vt,蓋,15312
std,儒,15275
std,輩,15254
std,辱,15248
std,湛,15228
std,賴,15205
std,務,15200
std,借,15190
std,飾,15159
std,邑,15132
std,惜,15122
std,避,15102
std,誤,15100
std,逼,15072
std,旦,15004
std,撰,14953
std,覓,14915
std,穿,14891
std,甞,14873
std,恣,14818
std,欣,14790
std,防,14741
std,詞,14730
std,席,14671
std,喪,14634
std,偷,14612
std,藍,14591
std,耆,14582
std,捉,14572
std,恨,14560
std,霜,14552
std,渴,14529
std,愁,14515
std,繼,14481
std,顏,14457
std,唵,14442
std,秀,14435
std,闇,14432
std,餓,14431
std,基,14419
std,域,14416
std,瓦,14363
std,刻,14326
std,爐,14314
std,焰,14310
std,煙,14298
single_vt,群,14297
std,戰,14293
std,測,14259
std,丹,14232
std,昭,14220
std,闡,14178
std,截,14141
std,符,14137
std,宇,14091
std,吐,14021
std,竪,14012
std,誡,14012
std,箭,14008
std,貌,13990
std,柔,13986
std,拏,13927
std,柱,13886
std,米,13879
std,扶,13859
std,蒼,13851
std,吼,13836
std,洪,13818
std,管,13780
std,牙,13766
std,沉,13764
std,怪,13682
std,嶽,13671
std,術,13665
std,郎,13662
std,倍,13661
std,擔,13643
std,盤,13607
std,昏,13606
std,該,13594
std,忠,13565
std,翁,13560
std,鐘,13543
std,賤,13539
std,育,13520
std,稽,13480
std,冠,13471
std,劍,13468
std,滯,13443
std,乖,13423
std,誑,13399
std,披,13377
std,規,13344
std,懈,13309
std,擲,13295
std,辛,13288
std,酬,13261
std,衰,13259
std,鄉,13252
std,荅,13252
std,奴,13246
std,臂,13192
std,赴,13178
std,蟲,13173
std,愈,13133
std,嶺,13131
std,豎,13094
std,兮,13090
std,溈,13067
std,式,13036
std,訓,12995
std,貫,12994
std,停,12980
std,災,12969
std,傾,12968
std,階,12917
std,潭,12870
std,搖,12855
std,掃,12851
std,振,12848
std,卿,12844
std,番,12825
std,牽,12800
std,碧,12716
std,昌,12710
std,馳,12705
std,熾,12696
std,頃,12688
std,敗,12684
std,玅,12643
std,郡,12637
std,拳,12632
std,游,12609
std,璃,12603
std,洛,12545
std,夕,12542
std,英,12540
std,謬,12533
std,校,12521
std,隆,12509
std,昇,12500
std,厚,12491
std,遭,12479
